fold,repeat,chosen_method,rmse_rf,rmse_ensemble,r2_rf,r2_ensemble,delta_rmse
1,1,Genetic_Algorithm_k6,21.106764173378036,22.561494827599805,0.783053031951377,0.7521174181522117,-1.4547306542217697
2,1,Genetic_Algorithm_k6,14.905116683146975,16.362499954944774,0.5996794709528948,0.5175676543439526,-1.4573832717977986
3,1,Exact_Enumerated_QUBO_k7,25.968755518633944,26.35076817045492,0.5180792904069207,0.5037964414928608,-0.38201265182097544
4,1,QAOA_Simulado_k6,21.3472021191584,22.229085434534177,0.6015034724649391,0.5678984669179732,-0.8818833153757772
5,1,Genetic_Algorithm_k6,21.503224527230948,20.664079289526814,0.4261070385602719,0.47002444515561803,0.839145237704134
6,2,Exact_Enumerated_QUBO_k7,20.969814824421178,23.83465313044932,0.7858591805425902,0.7233517410724793,-2.8648383060281404
7,2,QAOA_Simulado_k6,14.986314316909683,15.587395295981644,0.5953059905835187,0.5621914889768544,-0.6010809790719609
8,2,QAOA_Simulado_k6,25.558242015112718,26.63026264229011,0.5331952456926355,0.49321446139831016,-1.072020627177391
9,2,QAOA_Simulado_k6,21.274548518951025,22.052901791442135,0.6042113626045262,0.574720837491856,-0.7783532724911097
10,2,Genetic_Algorithm_k6,21.36947890833391,20.637911600522344,0.43322382860262776,0.47136585063270764,0.7315673078115665
11,3,QAOA_Simulado_k6,20.955034458056797,22.060799573300287,0.7861609442304505,0.7629975871639754,-1.1057651152434893
12,3,Genetic_Algorithm_k6,15.049949479431847,16.70300072015885,0.5918618555606951,0.4972800719364807,-1.6530512407270042
13,3,Genetic_Algorithm_k6,25.722562064810568,26.876681792844174,0.527173551477658,0.48379213984582703,-1.1541197280336064
14,3,QAOA_Simulado_k6,21.242699195084935,22.138813249626715,0.6053955160354929,0.5714008643978831,-0.8961140545417798
15,3,Genetic_Algorithm_k6,20.958557033989116,20.373978613241494,0.45481176335258755,0.48480052605370505,0.5845784207476221
16,4,Genetic_Algorithm_k6,21.013121299035493,22.543211758552683,0.7849737878998853,0.7525190066181059,-1.53009045951719
17,4,Genetic_Algorithm_k6,15.002582558223033,16.229830186801312,0.5944268907492998,0.5253592154772015,-1.2272476285782794
18,4,QAOA_Simulado_k6,25.79178196239645,26.74345499460299,0.5246253577608242,0.4888971054770055,-0.9516730322065392
19,4,Genetic_Algorithm_k6,21.35840268280812,22.59421548741182,0.6010851922020346,0.5535866743402127,-1.2358128046037002
20,4,Genetic_Algorithm_k6,20.99449207387086,20.350003901837052,0.4529406272400811,0.4860123160122024,0.6444881720338067
21,5,Exact_Enumerated_QUBO_k7,21.119849557095545,23.120517417280276,0.7827839509795992,0.739681299611457,-2.0006678601847305
22,5,QAOA_Simulado_k6,14.951084342177802,16.53804097775761,0.5972064714161214,0.5071608170534181,-1.5869566355798082
23,5,QAOA_Simulado_k6,25.64501091481973,25.298720137941437,0.5300203098266352,0.5426271134476234,0.34629077687829124
24,5,QAOA_Simulado_k6,21.095599231479916,21.029792228800652,0.6108416532888497,0.6132657987559427,0.06580700267926431
25,5,Genetic_Algorithm_k6,21.284028696210296,20.500869854207973,0.4377475058888082,0.47836311087978556,0.7831588420023223
